"","ID","COMB_AGE","COMBGEN","INCOME","saw_sm1","all_honest","state_honest","local_honest","fed_honest","terr_6mo","terr_life","terr_srs","local_protect","state_protect","fed_protect","off_info","believe","education","race","all_protect","all_protect_f","all_honest_f"
"1",1,57,"(2) Female",10000,TRUE,2.45454545454545,2.66666666666667,3,1.75,0,0,1,"(3) 3","(1) Not at all sure","(1) Not at all sure","(3) All of it","(4) 4","(8) OTHER","(1) WHITE",1.66666666666667,"2","2"
"2",2,46,"(2) Female",62000,TRUE,3.63636363636364,4,4,3,0,1,1,"(3) 3","(3) 3","(3) 3","(2) Some of it","(3) 3","(2) JUNIOR COLLEGE DEGREE (A.A.)","(1) WHITE",3,"3","4"
"3",3,62,"(2) Female",19500,TRUE,1,1,NA,1,0,0,1,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(1) None of it","(2) 2","(4) MASTERS DEGREE (M.A., M.S.)","(1) WHITE",1,"1","1"
"4",4,54,"(2) Female",87000,TRUE,3.54545454545455,3,4,3.5,0,NA,1,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(2) Some of it","(3) 3","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(2) HISPANIC/LATINO",1,"1","4"
"5",5,57,"(2) Female",29500,TRUE,3.81818181818182,3,4.25,4,0,0,1,"(4) 4","(4) 4","(4) 4","(3) All of it","(3) 3","(8) OTHER","(1) WHITE",4,"4","4"
"6",6,50,"(1) Male",42000,FALSE,3.90909090909091,4.66666666666667,4.5,2.75,0,1,1,"(2) 2","(2) 2","(2) 2","(2) Some of it","(3) 3","(3) BACHELORS DEGREE (B.A.,B.S.)","(1) WHITE",2,"2","4"
"7",7,56,"(2) Female",62000,FALSE,1.54545454545455,1.66666666666667,1.75,1.25,0,0,1,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(2) Some of it","(2) 2","(8) OTHER","(1) WHITE",1,"1","2"
"8",8,71,"(2) Female",19500,TRUE,4.72727272727273,4.66666666666667,5,4.5,0,0,1,"(4) 4","(3) 3","(3) 3","(2) Some of it","(3) 3","(2) JUNIOR COLLEGE DEGREE (A.A.)","(1) WHITE",3.33333333333333,"3","5"
"9",9,40,"(2) Female",87000,TRUE,2.36363636363636,2,2.75,2.25,0,0,1,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(2) Some of it","(2) 2","(4) MASTERS DEGREE (M.A., M.S.)","(1) WHITE",1,"1","2"
"10",10,21,"(1) Male",87000,TRUE,1.90909090909091,2,1.75,2,0,0,1,"(2) 2","(2) 2","(4) 4","(2) Some of it","(2) 2","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(1) WHITE",2.66666666666667,"3","2"
"11",11,51,"(2) Female",19500,TRUE,3.63636363636364,3.33333333333333,3.5,4,0,NA,1,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(1) None of it","(1) Did not believe any of it","(8) OTHER","(1) WHITE",1,"1","4"
"12",12,77,"(2) Female",NA,TRUE,2.18181818181818,3,2.25,1.5,0,0,NA,"(2) 2","(2) 2","(2) 2",NA,NA,"(4) MASTERS DEGREE (M.A., M.S.)","(3) BLACK OR AFRICAN AMERICAN",2,"2","2"
"13",13,73,"(1) Male",29500,TRUE,3.18181818181818,2.33333333333333,3.5,3.5,NA,NA,1,"(3) 3","(3) 3","(3) 3","(3) All of it","(2) 2","(8) OTHER","(6) AMERICAN INDIAN OR ALASKAN NATIVE",3,"3","3"
"14",14,18,"(1) Male",175000,TRUE,2,1.66666666666667,2.5,1.75,0,1,NA,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(2) Some of it","(1) Did not believe any of it","(7) NONE","(6) AMERICAN INDIAN OR ALASKAN NATIVE",1,"1","2"
"15",15,18,"(1) Male",10000,FALSE,4.90909090909091,4.66666666666667,5,5,0,0,0,"(4) 4","(5) Extremely sure","(5) Extremely sure",NA,NA,"(7) NONE","(1) WHITE",4.66666666666667,"5","5"
"16",16,46,"(1) Male",62000,TRUE,3.18181818181818,3.66666666666667,3.25,2.75,0,0,NA,"(3) 3","(3) 3","(3) 3","(2) Some of it","(2) 2","(7) NONE","(1) WHITE",3,"3","3"
"17",17,55,"(1) Male",87000,FALSE,2.45454545454545,3,3,1.5,0,1,0,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure",NA,NA,"(4) MASTERS DEGREE (M.A., M.S.)","(1) WHITE",1,"1","2"
"18",18,45,"(1) Male",87000,TRUE,3.9,3.66666666666667,4,4,0,0,1,"(3) 3","(2) 2","(3) 3","(2) Some of it","(3) 3","(3) BACHELORS DEGREE (B.A.,B.S.)","(1) WHITE",2.66666666666667,"3","4"
"19",19,18,"(2) Female",19500,TRUE,2.09090909090909,1,2.5,2.5,0,NA,1,"(2) 2","(2) 2","(2) 2","(2) Some of it","(1) Did not believe any of it","(7) NONE","(1) WHITE",2,"2","2"
"20",20,69,"(2) Female",175000,TRUE,4.27272727272727,3.66666666666667,4.5,4.5,0,0,1,"(4) 4","(2) 2","(2) 2","(3) All of it","(2) 2","(3) BACHELORS DEGREE (B.A.,B.S.)","(3) BLACK OR AFRICAN AMERICAN",2.66666666666667,"3","4"
"21",21,75,"(2) Female",19500,TRUE,4,4,4,4,0,NA,1,"(4) 4","(4) 4","(4) 4","(2) Some of it","(5) Believed all of it","(7) NONE","(1) WHITE",4,"4","4"
"22",22,47,"(2) Female",29500,TRUE,3.09090909090909,3,3.25,3,0,0,1,"(3) 3","(3) 3","(3) 3","(3) All of it","(5) Believed all of it","(7) NONE","(3) BLACK OR AFRICAN AMERICAN",3,"3","3"
"23",23,21,"(1) Male",62000,TRUE,4.45454545454545,4.33333333333333,4.5,4.5,0,0,1,"(2) 2","(3) 3","(4) 4","(2) Some of it","(2) 2","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(1) WHITE",3,"3","4"
"24",24,34,"(2) Female",62000,TRUE,2.09090909090909,2,3,1.25,0,0,1,"(1) Not at all sure","(2) 2","(2) 2","(1) None of it","(1) Did not believe any of it","(4) MASTERS DEGREE (M.A., M.S.)","(1) WHITE",1.66666666666667,"2","2"
"25",25,49,"(2) Female",42000,TRUE,3.45454545454545,3,4,3.25,0,1,1,"(3) 3","(1) Not at all sure","(1) Not at all sure","(2) Some of it","(3) 3","(4) MASTERS DEGREE (M.A., M.S.)","(1) WHITE",1.66666666666667,"2","3"
"26",26,74,"(1) Male",NA,NA,4.09090909090909,4,4.5,3.75,0,0,1,"(1) Not at all sure","(1) Not at all sure","(3) 3","(3) All of it","(5) Believed all of it","(3) BACHELORS DEGREE (B.A.,B.S.)","(1) WHITE",1.66666666666667,"2","4"
"27",27,45,"(2) Female",125000,TRUE,3.63636363636364,4,4,3,0,0,NA,"(3) 3","(3) 3","(3) 3","(1) None of it","(4) 4","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(1) WHITE",3,"3","4"
"28",28,51,"(1) Male",NA,TRUE,2.09090909090909,1.66666666666667,2.5,2,NA,NA,1,"(3) 3","(3) 3","(3) 3","(1) None of it","(3) 3","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)",NA,3,"3","2"
"29",29,83,"(2) Female",10000,FALSE,4.66666666666667,5,4.5,4.75,0,0,1,"(2) 2","(2) 2","(2) 2","(2) Some of it","(2) 2","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(1) WHITE",2,"2","5"
"30",30,60,"(1) Male",175000,TRUE,3.09090909090909,3,4,2.25,0,0,0,"(2) 2","(2) 2","(2) 2","(2) Some of it","(3) 3","(5) DOCTORATE (PH.D.)","(1) WHITE",2,"2","3"
"31",31,26,"(2) Female",NA,FALSE,4,5,4.33333333333333,3,0,0,1,"(1) Not at all sure","(5) Extremely sure","(5) Extremely sure","(1) None of it","(3) 3","(8) OTHER","(3) BLACK OR AFRICAN AMERICAN",3.66666666666667,"4","4"
"32",32,38,"(2) Female",NA,FALSE,3.54545454545455,2.66666666666667,3.75,4,0,1,0,"(2) 2","(3) 3","(3) 3","(2) Some of it","(2) 2","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(1) WHITE",2.66666666666667,"3","4"
"33",33,41,"(2) Female",62000,FALSE,1.18181818181818,1,1,1.5,0,0,1,"(1) Not at all sure","(1) Not at all sure","(1) Not at all sure","(2) Some of it","(1) Did not believe any of it","(5) DOCTORATE (PH.D.)","(6) AMERICAN INDIAN OR ALASKAN NATIVE",1,"1","1"
"34",34,29,"(2) Female",87000,TRUE,3.42857142857143,3.5,3.5,3.33333333333333,0,0,NA,"(1) Not at all sure","(1) Not at all sure","(3) 3","(1) None of it","(2) 2","(3) BACHELORS DEGREE (B.A.,B.S.)","(2) HISPANIC/LATINO",1.66666666666667,"2","3"
"35",35,34,"(2) Female",42000,TRUE,4.18181818181818,4.66666666666667,4.75,3.25,0,0,1,"(2) 2","(2) 2","(2) 2","(2) Some of it","(3) 3","(4) MASTERS DEGREE (M.A., M.S.)","(1) WHITE",2,"2","4"
"36",36,31,"(1) Male",10000,FALSE,4.90909090909091,4.66666666666667,5,5,0,0,0,"(2) 2","(1) Not at all sure","(2) 2","(2) Some of it","(3) 3","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(3) BLACK OR AFRICAN AMERICAN",1.66666666666667,"2","5"
"37",37,31,"(1) Male",175000,TRUE,3.36363636363636,3.66666666666667,3.5,3,0,1,1,"(2) 2","(2) 2","(2) 2","(2) Some of it","(3) 3","(3) BACHELORS DEGREE (B.A.,B.S.)","(1) WHITE",2,"2","3"
"38",38,34,"(2) Female",62000,FALSE,3.27272727272727,2.66666666666667,3.5,3.5,0,NA,1,"(3) 3","(3) 3","(3) 3","(3) All of it","(3) 3","(1) HIGH SCHOOL DIPLOMA/GED (OR EQUIVALENT)","(1) WHITE",3,"3","3"
